word,target_sound,clip_type,total,unclear_count,unclear_rate,priority,feedback
thank,th,word,5,5,1.0,high-priority,"Practice 'thank' slowly and repeat it in short sets. Focus on keeping the /th/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
zach said science was easy,mixed,sentence,3,3,1.0,high-priority,"Practice 'zach said science was easy' slowly and repeat it in short sets. Focus on keeping the /s/ and /z/ sounds steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
right,r,word,5,4,0.8,high-priority,"Practice 'right' slowly and repeat it in short sets. Focus on keeping the /r/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
sun,s,word,5,4,0.8,high-priority,"Practice 'sun' slowly and repeat it in short sets. Focus on keeping the /s/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
thirty,th,word,5,4,0.8,high-priority,"Practice 'thirty' slowly and repeat it in short sets. Focus on keeping the /th/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
zero zebras were in the zone,z,sentence,3,2,0.6666666666666666,high-priority,"Practice 'zero zebras were in the zone' slowly and repeat it in short sets. Focus on keeping the /z/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
bath,th,word,5,3,0.6,high-priority,"Practice 'bath' slowly and repeat it in short sets. Focus on keeping the /th/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
buzz,z,word,5,3,0.6,high-priority,"Practice 'buzz' slowly and repeat it in short sets. Focus on keeping the /z/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
nothing,th,word,5,3,0.6,high-priority,"Practice 'nothing' slowly and repeat it in short sets. Focus on keeping the /th/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
seal,s,word,5,3,0.6,high-priority,"Practice 'seal' slowly and repeat it in short sets. Focus on keeping the /s/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
