source,split,original_index,audio_path,speaker_id,gender,age,sentence,word,target_sound,phone,phone_score,label
speechocean762,train,1,000010035.wav,speechocean_0001,m,6,ZERO THREE FIVE ONE,zero,z,Z,2.0,clear
speechocean762,train,1,000010035.wav,speechocean_0001,m,6,ZERO THREE FIVE ONE,three,r,R,2.0,clear
speechocean762,train,2,000010053.wav,speechocean_0001,m,6,THREE TWO TWO SEVEN,three,th,TH,1.8,clear
speechocean762,train,2,000010053.wav,speechocean_0001,m,6,THREE TWO TWO SEVEN,three,r,R,2.0,clear
speechocean762,train,2,000010053.wav,speechocean_0001,m,6,THREE TWO TWO SEVEN,seven,s,S,2.0,clear
speechocean762,train,3,000010063.wav,speechocean_0001,m,6,ELEPHANTS TAI GOOSE,elephants,s,S,2.0,clear
speechocean762,train,3,000010063.wav,speechocean_0001,m,6,ELEPHANTS TAI GOOSE,goose,s,S,2.0,clear
speechocean762,train,4,000010069.wav,speechocean_0001,m,6,TOM GIVES UP BOXING,gives,z,Z,1.8,clear
speechocean762,train,4,000010069.wav,speechocean_0001,m,6,TOM GIVES UP BOXING,boxing,s,S,2.0,clear
speechocean762,train,5,000010075.wav,speechocean_0001,m,6,HE HATES SHOOTING,hates,s,S,2.0,clear
speechocean762,train,6,000010089.wav,speechocean_0001,m,6,MANDY HAS A BIG ARM,has,z,Z,2.0,clear
speechocean762,train,7,000010095.wav,speechocean_0001,m,6,LOOK AT ANN'S PANTS,pants,s,S,1.8,clear
speechocean762,train,8,000010106.wav,speechocean_0001,m,6,WHAT ABOUT THE BUS,bus,s,S,2.0,clear
speechocean762,train,9,000010113.wav,speechocean_0001,m,6,THEN HE WENT TO THEME PARK,park,r,R,1.8,clear
speechocean762,train,10,000010115.wav,speechocean_0001,m,6,LET'S GO TO THE RESTROOM,let's,s,S,2.0,clear
speechocean762,train,10,000010115.wav,speechocean_0001,m,6,LET'S GO TO THE RESTROOM,restroom,r,R,2.0,clear
speechocean762,train,10,000010115.wav,speechocean_0001,m,6,LET'S GO TO THE RESTROOM,restroom,s,S,2.0,clear
speechocean762,train,10,000010115.wav,speechocean_0001,m,6,LET'S GO TO THE RESTROOM,restroom,r,R,2.0,clear
speechocean762,train,11,000010121.wav,speechocean_0001,m,6,THEN MIKE WALKS TO COFFEE,walks,s,S,2.0,clear
speechocean762,train,12,000010122.wav,speechocean_0001,m,6,SO MARY WENT ON TO STUDY,so,s,S,2.0,clear
speechocean762,train,12,000010122.wav,speechocean_0001,m,6,SO MARY WENT ON TO STUDY,mary,r,R,2.0,clear
