source,split,original_index,audio_path,speaker_id,gender,age,sentence,word,target_sound,phone,phone_score,label
speechocean762,test,2202,096010004.wav,speechocean_9601,m,25,"SHE OPENED HER EYES, STARING UP AT HIM.",staring,r,R,0.0,unclear
speechocean762,train,2229,096140011.wav,speechocean_9614,f,28,YOU COULD ALWAYS TELL WHAT WAS ON MY MIND.,was,z,Z,0.0,unclear
speechocean762,train,2422,096430004.wav,speechocean_9643,f,25,"NO SUCH LUCK GRACED HER, HOWEVER.",graced,r,R,0.4,unclear
speechocean762,train,138,000530163.wav,speechocean_0053,f,6,WHERE DID THAT COME FROM,from,r,R,0.0,unclear
speechocean762,test,1561,030140010.wav,speechocean_3014,m,9,I AM TO HAVE THE DRIVING OF THEM,driving,r,R,2.0,clear
speechocean762,test,309,001490080.wav,speechocean_0149,f,7,CASEY LIKES YOUR BLUE BOOTS,boots,s,S,2.0,clear
speechocean762,test,1238,021160310.wav,speechocean_2116,f,20,SHE WAS ABOUT TO GET LUCKY SHE COULD JUST TELL,was,z,Z,2.0,clear
speechocean762,test,2033,085810119.wav,speechocean_8581,f,15,HE PUT THE THING BACK INTO THE DRIVER,driver,r,R,2.0,clear
speechocean762,test,2294,096170018.wav,speechocean_9617,f,35,HE WAS TALENTED IN MORE THINGS THAN I WAS.,things,th,TH,2.0,clear
speechocean762,test,303,001490032.wav,speechocean_0149,f,7,FOUR TWO SIX SIX,six,s,S,2.0,clear
speechocean762,train,2177,096090025.wav,speechocean_9609,m,27,"BUT WHERE WAS SHE, THAT SHE SEEMED SO ABSENT?",absent,s,S,0.0,unclear
speechocean762,train,2217,096130019.wav,speechocean_9613,f,33,HE TURNED AROUND TO FACE HER.,face,s,S,0.0,unclear
speechocean762,train,679,012600368.wav,speechocean_1260,m,25,SHE'S ONE OF THESE WILD FELLOWS,fellows,z,Z,2.0,clear
speechocean762,train,1101,022360126.wav,speechocean_2236,m,22,THE ONLY THING HAVE TO PAY IS ATTENTION,thing,th,TH,1.8,clear
speechocean762,train,2090,096000012.wav,speechocean_9600,f,28,THIS WAS THE MAN WHO HAD KILLED HIS FATHER.,was,z,Z,0.8,unclear
speechocean762,train,1827,060480084.wav,speechocean_6048,m,12,HE STOPPED IN HIS WALK AND LOOKED AROUND,around,r,R,2.0,clear
speechocean762,test,407,005630147.wav,speechocean_0563,f,22,HOW OLD IS THE INNER YOU,is,z,Z,1.8,clear
speechocean762,test,776,011810284.wav,speechocean_1181,m,23,LET ME KNOW IF YOU HAVE ANYTHING HE CAN ATTEND,anything,th,TH,0.6,unclear
speechocean762,test,1065,020020174.wav,speechocean_2002,f,28,BIG THANK YOU TO THEM,thank,th,TH,2.0,clear
speechocean762,test,897,014040148.wav,speechocean_1404,m,7,HE LIKES THE FAMOUS CITY SYDNEY,famous,s,S,0.8,unclear
speechocean762,train,333,004820265.wav,speechocean_0482,m,28,JUST TELL ME IF YOU FEEL THE SAME WAY TOO,just,s,S,2.0,clear
speechocean762,train,1716,054080163.wav,speechocean_5408,m,11,HE MUST LEAVE HIS MONEY TO SOMEBODY,must,s,S,2.0,clear
speechocean762,train,2490,096490011.wav,speechocean_9649,m,20,HER THIN WHITE FINGERS WERE GRIPPING ITS SIDES.,thin,th,TH,0.2,unclear
speechocean762,test,361,004570071.wav,speechocean_0457,f,21,YOU HAD TO STAY WITH LEADERS,leaders,s,S,2.0,clear
speechocean762,train,1223,024020069.wav,speechocean_2402,f,21,THERE WAS NO REQUEST MADE FOR THE GUARD TODAY,request,r,R,2.0,clear
speechocean762,train,1370,030020117.wav,speechocean_3002,m,9,EVERY ONE LOVES HER,loves,z,Z,1.8,clear
speechocean762,train,952,020590228.wav,speechocean_2059,f,21,GUN DEATH AT THE BOTTOM OF THE LIST,death,th,TH,2.0,clear
speechocean762,test,497,008110307.wav,speechocean_0811,f,20,THERE WAS A GENTLE KNOCK ON THE DOOR,was,z,Z,2.0,clear
speechocean762,test,2432,096330016.wav,speechocean_9633,f,21,HE WAS ALWAYS UP TO NO GOOD.,always,z,Z,2.0,clear
speechocean762,test,408,005630151.wav,speechocean_0563,f,22,NOT FOR HIMSELF BUT FOR THE OTHERS,himself,s,S,2.0,clear
speechocean762,train,1423,030230060.wav,speechocean_3023,m,19,AUTHORITIES CLAIMS THAT THE KILLINGS WERE THE CRIME OF ANGER,authorities,th,TH,2.0,clear
speechocean762,train,241,001040026.wav,speechocean_0104,f,6,FIVE SIX FIVE SIX,six,s,S,2.0,clear
speechocean762,test,723,011350064.wav,speechocean_1135,m,25,IN COLLEGE YOU COULD GET AWAY WITH THINGS,things,th,TH,2.0,clear
speechocean762,test,2216,096010020.wav,speechocean_9601,m,25,SOMEWHERE THERE HAD TO BE A PLACE BETTER THAN THIS.,there,r,R,2.0,clear
speechocean762,test,2131,091180091.wav,speechocean_9118,f,15,WOULD THE GENTLEMAN STATE HIS BUSINESS PLEASE,state,s,S,2.0,clear
speechocean762,train,2119,096040025.wav,speechocean_9604,f,21,THERE WAS NOTHING TO BE GAINED BY IT.,was,z,Z,0.0,unclear
speechocean762,test,1840,054280012.wav,speechocean_5428,f,11,NOTHING I SHOULD LIKE SO MUCH,so,s,S,2.0,clear
speechocean762,train,2177,096090025.wav,speechocean_9609,m,27,"BUT WHERE WAS SHE, THAT SHE SEEMED SO ABSENT?",where,r,R,0.0,unclear
speechocean762,test,1463,028970039.wav,speechocean_2897,m,20,SO FAR NO ONE IS EXPECTED TO LOSE THEIR JOB,their,r,R,1.8,clear
speechocean762,train,2109,096040011.wav,speechocean_9604,f,21,I WONDER WHAT WAS GOING ON OVER THERE.,there,r,R,0.0,unclear
speechocean762,train,477,010120334.wav,speechocean_1012,m,29,I HAD JUST COME IN FROM THE STREET,street,r,R,1.8,clear
speechocean762,test,1433,027400276.wav,speechocean_2740,m,20,THAT IS NOT A SALARY,is,z,Z,2.0,clear
speechocean762,test,1352,024480241.wav,speechocean_2448,f,19,HE WAS TRYING TO KEEP YOU SAFE,trying,r,R,2.0,clear
speechocean762,test,448,007360205.wav,speechocean_0736,f,21,WHAT IS GOING ON IN MY LIFE RIGHT NOW,right,r,R,2.0,clear
speechocean762,train,133,000530109.wav,speechocean_0053,f,6,MIKE CAN SEE THE TRAIN,see,s,S,2.0,clear
speechocean762,train,43,000060031.wav,speechocean_0006,f,6,FIVE TWO FOUR SEVEN,seven,s,S,2.0,clear
speechocean762,train,128,000530060.wav,speechocean_0053,f,6,SIR THREE PLANTING GRAFF,three,th,TH,1.8,clear
speechocean762,test,2409,096310010.wav,speechocean_9631,m,26,AND THEN THERE WAS HER FACE.,there,r,R,0.0,unclear
speechocean762,test,1141,020270005.wav,speechocean_2027,m,8,JIM CAN DRAW THE ZEBRA,zebra,r,R,0.0,unclear
speechocean762,test,2387,096290009.wav,speechocean_9629,f,25,I THOUGHT FOR SURE SHE WOULD SAY SOMETHING.,something,th,TH,1.8,clear
speechocean762,train,959,020590376.wav,speechocean_2059,f,21,THE REBELS HAD COME UPON HIS LAND,rebels,r,R,2.0,clear
speechocean762,train,1615,038370142.wav,speechocean_3837,f,12,WHAT'S WILL ONLY BE THREE MONTH,three,r,R,2.0,clear
speechocean762,test,452,007360249.wav,speechocean_0736,f,21,THEN A FRIEND OF THE WORLD,friend,r,R,0.8,unclear
speechocean762,train,574,010440119.wav,speechocean_1044,f,7,TINA IS DRAWING THE MUSHROOM,drawing,r,R,2.0,clear
speechocean762,train,26,000050047.wav,speechocean_0005,m,6,SIX FIVE THREE,six,s,S,2.0,clear
speechocean762,train,49,000060083.wav,speechocean_0006,f,6,MARK GOT SOME NOODLES,mark,r,R,2.0,clear
speechocean762,test,132,000940093.wav,speechocean_0094,m,6,HERE IS YOUR NEW PANTS,is,z,Z,2.0,clear
speechocean762,test,666,010760060.wav,speechocean_1076,m,7,DOES JUNE LIKE THE NOODLES,does,z,Z,1.8,clear
speechocean762,test,2236,096080024.wav,speechocean_9608,f,30,THE OTHER PEOPLE IN THE RESTAURANT WERE LOOKING AT US.,restaurant,r,R,0.0,unclear
speechocean762,train,288,001350194.wav,speechocean_0135,f,20,THE GOOD THING IS THAT WE CAN SEE THE GAME,is,z,Z,2.0,clear
speechocean762,train,2296,096190017.wav,speechocean_9619,m,24,WHAT ELSE WAS THERE LEFT TO DO?,there,r,R,0.4,unclear
speechocean762,test,2223,096080007.wav,speechocean_9608,f,30,THE SAME LOOK OF CONFUSION IS ON HIS FACE.,is,z,Z,0.4,unclear
speechocean762,train,704,013360123.wav,speechocean_1336,m,24,IT IS A GOOD POINT,is,z,Z,2.0,clear
speechocean762,test,2133,091180110.wav,speechocean_9118,f,15,SHALL YOU STATE AT ONCE,once,s,S,2.0,clear
speechocean762,train,2468,096460010.wav,speechocean_9646,f,21,WHAT HAD HAPPENED SINCE THEN?,since,s,S,0.0,unclear
speechocean762,train,184,000700019.wav,speechocean_0070,f,6,DORA CAN DRAW THE ZEBRA,draw,r,R,2.0,clear
speechocean762,test,2003,081530018.wav,speechocean_8153,f,14,I AM GOING TO THE WAR,war,r,R,2.0,clear
speechocean762,test,981,014690006.wav,speechocean_1469,m,6,JAYME IS GOING TO SEE CAT,is,z,Z,1.8,clear
speechocean762,test,1162,020300017.wav,speechocean_2030,m,8,TINA WENT TO SEE GOAT,see,s,S,2.0,clear
speechocean762,test,693,010990239.wav,speechocean_1099,m,43,NO YOU ARE VERY CREATIVE,creative,r,R,2.0,clear
speechocean762,test,709,011090246.wav,speechocean_1109,m,30,YES THANK YOU FOR REMINDING ME,thank,th,TH,2.0,clear
speechocean762,train,1540,032080019.wav,speechocean_3208,f,9,I SEE HIM THERE,there,r,R,2.0,clear
speechocean762,test,1909,060670049.wav,speechocean_6067,f,12,I WAS ANGRY WHEN I WROTE THEM,wrote,r,R,0.6,unclear
speechocean762,train,2003,085850042.wav,speechocean_8585,m,15,WE BUY SOME NICE A CLOTHES FOR OUR SALES,some,s,S,2.0,clear
speechocean762,test,1803,052200044.wav,speechocean_5220,m,11,HE WAS TO BE AWAY A LONG LONG TIME,was,z,Z,2.0,clear
speechocean762,test,2437,096330021.wav,speechocean_9633,f,21,HE WAS NOT HARD TO SEE FROM WHERE SHE WAS.,was,z,Z,0.4,unclear
speechocean762,test,1773,050390090.wav,speechocean_5039,f,12,NOTHING OF THE KIND HERE SIR,nothing,th,TH,1.8,clear
speechocean762,test,527,010300157.wav,speechocean_1030,m,27,IT'S HARD TO LET GO OF TRADITIONS,traditions,r,R,2.0,clear
speechocean762,train,2399,096340023.wav,speechocean_9634,m,32,WE HAVE TO DO SOMETHING WITH HIM.,with,th,TH,0.0,unclear
speechocean762,train,2119,096040025.wav,speechocean_9604,f,21,THERE WAS NOTHING TO BE GAINED BY IT.,nothing,th,TH,0.4,unclear
speechocean762,test,2150,095530083.wav,speechocean_9553,f,15,BUT WHAT CAN BE THEIR AM,their,r,R,2.0,clear
speechocean762,test,2135,091180151.wav,speechocean_9118,f,15,I SAVED MY CHICKENS THROUGH,through,th,TH,2.0,clear
speechocean762,train,20,000050003.wav,speechocean_0005,m,6,MIKE LIKES THE WHITE ONE,likes,s,S,2.0,clear
speechocean762,test,1196,020310297.wav,speechocean_2031,f,21,LIFE'S A BEACH AS IT WERE,as,z,Z,2.0,clear
speechocean762,test,2487,096470011.wav,speechocean_9647,f,20,NOTHING BUT AN IMMENSE SEA.,sea,s,S,0.4,unclear
speechocean762,test,1768,050390057.wav,speechocean_5039,f,12,SO SHE HAD BETTER STUDY ME,study,s,S,2.0,clear
speechocean762,train,337,004820370.wav,speechocean_0482,m,28,I SHUT MY EYES FOR ONE BREATH,breath,r,R,2.0,clear
speechocean762,test,2379,096260022.wav,speechocean_9626,m,37,HE WAS MORE THAN JUST A FATHER.,just,s,S,0.4,unclear
speechocean762,test,1696,036310148.wav,speechocean_3631,f,9,THEN MISS BROWN TURNED ROUND IN HER CHAIR,brown,r,R,2.0,clear
speechocean762,train,254,001040120.wav,speechocean_0104,f,6,MARY CAN SEE THE BOOKSTORE,bookstore,r,R,2.0,clear
speechocean762,train,135,000530115.wav,speechocean_0053,f,6,THEN TOM WALKS TO ART ROOM,room,r,R,2.0,clear
speechocean762,train,679,012600368.wav,speechocean_1260,m,25,SHE'S ONE OF THESE WILD FELLOWS,she's,z,Z,2.0,clear
speechocean762,train,2495,096490016.wav,speechocean_9649,m,20,THROUGH HEARING ONLY HIS VOICE.,hearing,r,R,0.0,unclear
speechocean762,train,601,010920024.wav,speechocean_1092,m,8,MANDY LIVE IN BRITAIN,britain,r,R,2.0,clear
speechocean762,train,755,013720256.wav,speechocean_1372,f,21,BUT YOU KNOW WHAT THIS MEAN RIGHT,right,r,R,2.0,clear
speechocean762,test,316,001490153.wav,speechocean_0149,f,7,AT SCHOOL BEN WAS PLAYING,school,s,S,2.0,clear
speechocean762,train,722,013620106.wav,speechocean_1362,f,21,IF YOU MISS THERE'S A RARELY CONSEQUENCE,rarely,r,R,2.0,clear
speechocean762,test,2057,085840147.wav,speechocean_8584,f,15,I AS A WOMAN THINK DIFFERENTLY,differently,r,R,2.0,clear
speechocean762,train,1109,022360231.wav,speechocean_2236,m,22,INTERESTING FIRST HALF OF GAMES,interesting,r,R,2.0,clear
speechocean762,train,376,005750303.wav,speechocean_0575,f,19,IT IS A GREAT RESOURCE,is,z,Z,2.0,clear
speechocean762,train,530,010330197.wav,speechocean_1033,m,30,IT'S A GOOD THING THAT THE GOVERNMENT IS LISTENING,thing,th,TH,2.0,clear
speechocean762,test,1454,028920235.wav,speechocean_2892,m,24,I THINK YOU CAN TAKE IT YOURSELF,think,th,TH,2.0,clear
speechocean762,train,756,013720274.wav,speechocean_1372,f,21,I WANT TO SEE YOU IN THE QUARTER FINALS,finals,z,Z,1.8,clear
speechocean762,test,1491,029170197.wav,speechocean_2917,m,19,I WANT TO BE A PART OF THIS THREAD,thread,th,TH,2.0,clear
speechocean762,test,2069,090880120.wav,speechocean_9088,f,15,THINK OF ME AS THROUGH I WERE YOU SISTER,sister,s,S,0.4,unclear
speechocean762,test,1413,025380217.wav,speechocean_2538,f,21,WELL THAT WAS JUST RIDICULOUS,was,z,Z,1.8,clear
speechocean762,test,947,014220058.wav,speechocean_1422,m,7,DOES JAYME LIKE THE BREAD,bread,r,R,0.0,unclear
